Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WebTest E commerce,Firefox 55.0,,2017-08-31 12:35:54,2017-08-31 12:39:14,3m - 19.658s,PASSED
,,,,,,
Test Cases/google,Firefox 55.0,,2017-08-31 12:35:55,2017-08-31 12:37:29,1m - 34.600s,PASSED
openBrowser,Firefox 55.0,,2017-08-31 12:35:57,2017-08-31 12:36:48,50.945s,PASSED
navigateToUrl,Firefox 55.0,,2017-08-31 12:36:48,2017-08-31 12:36:54,6.162s,PASSED
maximizeWindow,Firefox 55.0,,2017-08-31 12:36:54,2017-08-31 12:36:55,0.630s,PASSED
click,Firefox 55.0,,2017-08-31 12:36:55,2017-08-31 12:36:56,1.470s,PASSED
sendKeys,Firefox 55.0,,2017-08-31 12:36:56,2017-08-31 12:36:57,0.610s,PASSED
submit,Firefox 55.0,,2017-08-31 12:36:57,2017-08-31 12:37:00,3.119s,PASSED
click,Firefox 55.0,,2017-08-31 12:37:00,2017-08-31 12:37:01,0.914s,PASSED
setText,Firefox 55.0,,2017-08-31 12:37:01,2017-08-31 12:37:17,16.128s,PASSED
click,Firefox 55.0,,2017-08-31 12:37:17,2017-08-31 12:37:20,3.221s,PASSED
verifyTextPresent,Firefox 55.0,,2017-08-31 12:37:20,2017-08-31 12:37:25,5.082s,PASSED
closeBrowser,Firefox 55.0,,2017-08-31 12:37:25,2017-08-31 12:37:29,3.881s,PASSED
,,,,,,
Test Cases/launch,Firefox 55.0,launch paytm,2017-08-31 12:37:29,2017-08-31 12:39:14,1m - 44.170s,PASSED
openBrowser,Firefox 55.0,,2017-08-31 12:37:30,2017-08-31 12:37:45,15.299s,PASSED
"Statement - Mob = com.kms.katalon.core.testdata.TestDataFactory.findTestData(test).getValue(""Mobile"", 2)",Firefox 55.0,,2017-08-31 12:37:45,2017-08-31 12:37:50,5.393s,PASSED
navigateToUrl,Firefox 55.0,,2017-08-31 12:37:50,2017-08-31 12:38:59,1m - 8.501s,PASSED
waitForPageLoad,Firefox 55.0,,2017-08-31 12:38:59,2017-08-31 12:39:00,0.819s,PASSED
setText,Firefox 55.0,,2017-08-31 12:39:00,2017-08-31 12:39:01,0.869s,PASSED
click,Firefox 55.0,,2017-08-31 12:39:01,2017-08-31 12:39:09,7.902s,PASSED
click,Firefox 55.0,,2017-08-31 12:39:09,2017-08-31 12:39:09,0.685s,PASSED
verifyTextPresent,Firefox 55.0,,2017-08-31 12:39:09,2017-08-31 12:39:13,3.750s,PASSED
closeBrowser,Firefox 55.0,,2017-08-31 12:39:13,2017-08-31 12:39:14,0.579s,PASSED
