Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WebTest E commerce,Chrome 60.0.3112.101,,2017-08-29 15:24:18,2017-08-29 15:25:44,1m - 25.629s,FAILED
,,,,,,
Test Cases/google,Chrome 60.0.3112.101,,2017-08-29 15:24:19,2017-08-29 15:25:28,1m - 9.502s,PASSED
openBrowser,Chrome 60.0.3112.101,,2017-08-29 15:24:20,2017-08-29 15:24:33,13.168s,PASSED
navigateToUrl,Chrome 60.0.3112.101,,2017-08-29 15:24:33,2017-08-29 15:24:36,3.616s,PASSED
maximizeWindow,Chrome 60.0.3112.101,,2017-08-29 15:24:36,2017-08-29 15:24:38,1.521s,PASSED
click,Chrome 60.0.3112.101,,2017-08-29 15:24:38,2017-08-29 15:24:38,0.373s,PASSED
sendKeys,Chrome 60.0.3112.101,,2017-08-29 15:24:38,2017-08-29 15:24:39,0.384s,PASSED
submit,Chrome 60.0.3112.101,,2017-08-29 15:24:39,2017-08-29 15:24:40,1.571s,PASSED
click,Chrome 60.0.3112.101,,2017-08-29 15:24:40,2017-08-29 15:24:43,2.572s,PASSED
setText,Chrome 60.0.3112.101,,2017-08-29 15:24:43,2017-08-29 15:25:19,36.075s,PASSED
click,Chrome 60.0.3112.101,,2017-08-29 15:25:19,2017-08-29 15:25:25,6.299s,PASSED
verifyTextPresent,Chrome 60.0.3112.101,,2017-08-29 15:25:25,2017-08-29 15:25:26,0.945s,PASSED
closeBrowser,Chrome 60.0.3112.101,,2017-08-29 15:25:26,2017-08-29 15:25:28,2.025s,PASSED
,,,,,,
Test Cases/launch,Chrome 60.0.3112.101,launch paytm,2017-08-29 15:25:28,2017-08-29 15:25:42,13.740s,FAILED
openBrowser,Chrome 60.0.3112.101,,2017-08-29 15:25:28,2017-08-29 15:25:32,3.858s,PASSED
"Statement - Mob = com.kms.katalon.core.testdata.TestDataFactory.findTestData(test).getValue(""Mobile"", 2)",Chrome 60.0.3112.101,,2017-08-29 15:25:32,2017-08-29 15:25:34,1.738s,PASSED
maximizeWindow,Chrome 60.0.3112.101,,2017-08-29 15:25:34,2017-08-29 15:25:36,1.415s,PASSED
navigateToUrl,Chrome 60.0.3112.101,,2017-08-29 15:25:36,2017-08-29 15:25:40,4.263s,PASSED
setText,Chrome 60.0.3112.101,,2017-08-29 15:25:40,2017-08-29 15:25:40,0.448s,PASSED
click,Chrome 60.0.3112.101,,2017-08-29 15:25:40,2017-08-29 15:25:42,1.745s,FAILED
