Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WebTest demo app,Chrome 60.0.3112.113,,2017-08-31 12:35:54,2017-08-31 12:39:38,3m - 44.072s,PASSED
,,,,,,
Test Cases/katalon,Chrome 60.0.3112.113,katalon explore,2017-08-31 12:35:56,2017-08-31 12:39:38,3m - 42.847s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-08-31 12:35:58,2017-08-31 12:36:57,59.342s,PASSED
maximizeWindow,Chrome 60.0.3112.113,,2017-08-31 12:36:57,2017-08-31 12:36:59,1.663s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-08-31 12:36:59,2017-08-31 12:39:28,2m - 29.840s,PASSED
click,Chrome 60.0.3112.113,,2017-08-31 12:39:28,2017-08-31 12:39:29,0.915s,PASSED
click,Chrome 60.0.3112.113,,2017-08-31 12:39:29,2017-08-31 12:39:30,1.119s,PASSED
click,Chrome 60.0.3112.113,,2017-08-31 12:39:30,2017-08-31 12:39:32,1.301s,PASSED
click,Chrome 60.0.3112.113,,2017-08-31 12:39:32,2017-08-31 12:39:32,0.392s,PASSED
click,Chrome 60.0.3112.113,,2017-08-31 12:39:32,2017-08-31 12:39:32,0.177s,PASSED
click,Chrome 60.0.3112.113,,2017-08-31 12:39:32,2017-08-31 12:39:33,0.353s,PASSED
setText,Chrome 60.0.3112.113,,2017-08-31 12:39:33,2017-08-31 12:39:33,0.857s,PASSED
click,Chrome 60.0.3112.113,,2017-08-31 12:39:33,2017-08-31 12:39:34,0.739s,PASSED
click,Chrome 60.0.3112.113,,2017-08-31 12:39:34,2017-08-31 12:39:35,0.428s,PASSED
rightClick,Chrome 60.0.3112.113,,2017-08-31 12:39:35,2017-08-31 12:39:35,0.349s,PASSED
click,Chrome 60.0.3112.113,,2017-08-31 12:39:35,2017-08-31 12:39:35,0.115s,PASSED
click,Chrome 60.0.3112.113,,2017-08-31 12:39:35,2017-08-31 12:39:36,0.573s,PASSED
click,Chrome 60.0.3112.113,,2017-08-31 12:39:36,2017-08-31 12:39:36,0.224s,PASSED
click,Chrome 60.0.3112.113,,2017-08-31 12:39:36,2017-08-31 12:39:37,0.867s,PASSED
closeBrowser,Chrome 60.0.3112.113,,2017-08-31 12:39:37,2017-08-31 12:39:38,1.591s,PASSED
